time,unbiased,steered,coupled,TAMD
27.10000,-5.11673,-4.61755,-5.55131,-5.87607
27.20000,-5.04384,-4.19199,-5.43278,-5.76202
27.30000,-4.86367,-4.41466,-5.58870,-5.92103
27.40000,-4.88733,-4.57771,-5.34812,-5.97626
27.50000,-4.74947,-4.67749,-5.65688,-5.93007
27.60000,-5.02507,-4.59982,-5.76390,-5.89733
27.70000,-4.60864,-4.32738,-5.78556,-5.94907
27.80000,-4.56680,-4.54982,-5.91993,-6.02690
27.90000,-4.03559,-4.18994,-5.99204,-5.98884
28.00000,-3.89556,-4.10691,-6.00077,-5.88477
28.10000,-4.04720,-4.12258,-6.16959,-5.96148
28.20000,-3.89300,-4.49268,-6.10196,-6.10027
28.30000,-3.57630,-4.59272,-6.04529,-6.19583
28.40000,-3.38770,-4.53153,-6.00997,-6.04861
28.50000,-3.24262,-4.84843,-5.95022,-6.07264
28.60000,-3.25235,-5.14883,-5.59998,-6.22077
28.70000,-3.96570,-5.27954,-5.28721,-6.20095
28.80000,-4.15139,-5.16691,-4.91497,-5.99432
28.90000,-3.93327,-4.98789,-5.03703,-5.99933
29.00000,-4.00475,-4.78658,-4.80517,-5.96581
29.10000,-4.10047,-5.10192,-5.08939,-5.76531
29.20000,-4.27282,-5.07813,-5.03361,-5.98006
29.30000,-4.15926,-5.49590,-4.96885,-6.17243
29.40000,-4.06850,-5.07698,-4.73037,-6.08225
29.50000,-4.21108,-4.82979,-4.86558,-6.51336
29.60000,-4.51496,-4.89011,-4.90006,-6.81992
29.70000,-4.45259,-4.81934,-4.79790,-6.46049
29.80000,-4.41338,-4.44881,-4.65323,-6.42964
29.90000,-4.84543,-4.42633,-4.60096,-6.26873
30.00000,-4.90218,-4.81574,-4.39369,-6.32361
30.10000,-4.97774,-4.67436,-4.62063,-6.28732
30.20000,-4.81887,-4.24690,-4.70917,-6.25670
30.30000,-4.74742,-4.25127,-4.75712,-6.39796
30.40000,-4.77802,-3.95057,-4.78806,-6.02801
30.50000,-4.52088,-3.98955,-4.80799,-5.98702
30.60000,-4.74266,-4.28404,-4.40075,-6.04438
30.70000,-4.60514,-4.60706,-4.37011,-5.97159
30.80000,-4.53078,-4.62216,-4.55761,-5.97785
30.90000,-4.40562,-4.58250,-4.78854,-5.53256
31.00000,-4.56492,-4.55355,-4.96892,-5.63444
31.10000,-4.55263,-4.66034,-5.02754,-5.33335
31.20000,-4.59899,-4.66490,-5.12174,-5.30242
31.30000,-4.58125,-4.71047,-4.84389,-5.62244
31.40000,-4.73962,-4.77398,-5.15246,-5.64759
31.50000,-4.85177,-4.72203,-5.01099,-5.59844
31.60000,-4.79718,-4.68659,-5.04867,-5.66010
31.70000,-4.90475,-4.64126,-4.98655,-5.76521
31.80000,-4.96375,-4.90144,-4.99952,-5.62290
31.90000,-5.37377,-5.06788,-4.86489,-5.60807
32.00000,-4.97003,-5.29460,-4.83245,-5.68139
32.10000,-5.13719,-5.28159,-4.73508,-5.64521
32.20000,-5.14946,-5.67371,-4.96100,-5.46473
32.30000,-5.37360,-5.60840,-5.21967,-5.67097
32.40000,-5.35518,-5.77992,-5.14405,-5.54731
32.50000,-5.47794,-5.76449,-5.12624,-5.57072
32.60000,-5.26093,-5.38477,-5.10402,-5.26243
32.70000,-5.20831,-4.98418,-4.77141,-5.33439
32.80000,-5.16056,-4.83351,-4.67983,-5.43372
32.90000,-5.22958,-4.63192,-4.84404,-5.67353
33.00000,-5.45721,-4.51296,-4.69191,-5.77315
33.10000,-5.29786,-4.37211,-4.72363,-5.61673
33.20000,-5.17730,-4.69597,-4.63672,-5.57261
33.30000,-5.12248,-4.62764,-4.50122,-5.52822
33.40000,-5.01008,-4.75903,-4.32018,-5.50533
33.50000,-5.10680,-5.00537,-4.49608,-5.55986
33.60000,-5.06458,-4.81607,-4.56535,-5.64919
33.70000,-4.92464,-4.88267,-4.69024,-5.93008
33.80000,-4.92441,-4.92085,-4.62467,-6.17589
33.90000,-4.89554,-5.14267,-5.10799,-6.14379
34.00000,-4.90113,-5.01658,-5.10217,-5.96412
34.10000,-4.95399,-4.88272,-5.07782,-6.00500
34.20000,-4.69226,-4.77295,-4.81287,-5.80213
34.30000,-4.61534,-4.76939,-4.83203,-5.55572
34.40000,-4.61338,-4.95116,-4.67154,-6.07143
34.50000,-4.63411,-4.58984,-5.19979,-6.03827
34.60000,-4.80863,-4.62431,-5.28244,-6.07800
